FB_Season,Fiscal Year,Licensee Revenue,"""Plus One"" Exclusive Apparel Deal in Place",Home Football Games,Football Wins,Football Losses,Beat_Notre Dame,Beat_UCLA,Pac-12 Conference Champion,Football Bowl Game,Rose-BCS Bowl,Win Bowl Game,National NCAA Football Championship Game,Win Football National Championship,Athletics Under NCAA Sanctions,NFL Draft Picks,First Round NFL Draft Picks,Top 10 NFL Draft Picks,Pro Teams in LA-Market,Avg_Home Game Attendance,Football - Heisman Winner,NCAA-AP Football Ranking,Paul Hackett,Pete Carroll,Lane Kiffin,Ed Orgeon,Steve Sarkisian,Clay Helton,NCAA Basketball Tournament,Pac-12 Basketball Champion,NBA Draft Picks,NBA First Round Draft Picks,Wall Street Journal-Times Higher Ed Ranking,US News Ranking,USC Students
2000,2001,"14,431,840",0,7,5,7,0,1,0,0,0,0,0,0,0,3,0,0,7,57339,0,NA,1,0,0,0,0,0,1,0,2,0,NA,42,29194
2001,2002,"15,897,720",0,6,6,6,0,1,0,1,0,0,0,0,0,2,0,0,7,57744,0,NA,0,1,0,0,0,0,1,0,1,0,NA,35,29813
2002,2003,"17,867,161",0,6,11,2,1,1,1,1,1,1,0,0,0,5,2,1,7,66853,1,4,0,1,0,0,0,0,0,0,0,0,NA,34,30682
2003,2004,"22,857,526",0,6,12,1,1,1,1,1,1,1,1,1,0,4,1,0,7,77804,0,1,0,1,0,0,0,0,0,0,0,0,NA,31,31606
2004,2005,"26,050,926",0,6,13,0,1,1,1,1,1,1,1,1,0,5,1,1,8,85229,1,1,0,1,0,0,0,0,0,0,0,0,NA,30,32160
2005,2006,"33,160,255",0,6,12,1,1,1,1,1,1,0,1,0,0,11,2,2,8,90812,1,2,0,1,0,0,0,0,0,0,0,0,NA,30,32836
2006,2007,"32,698,490",0,6,11,2,1,0,1,1,1,1,0,0,0,5,0,0,8,91480,0,4,0,1,0,0,0,0,1,0,2,1,NA,30,33389
2007,2008,"37,987,067",0,6,11,2,1,1,1,1,1,1,0,0,0,10,4,2,8,87476,0,3,0,1,0,0,0,0,1,0,1,1,NA,27,33408
2008,2009,"33,306,467",0,6,12,1,1,1,1,1,1,1,0,0,0,11,3,1,8,86793,0,3,0,1,0,0,0,0,1,0,2,1,NA,27,33747
2009,2010,"31,348,295",0,6,9,4,1,1,0,1,0,1,0,0,0,7,0,0,8,84799,0,22,0,0,1,0,0,0,0,1,0,0,NA,27,34824
2010,2011,"30,280,223",0,6,8,5,0,1,0,1,1,1,0,0,1,9,1,1,8,79907,0,NA,0,0,1,0,0,0,1,0,1,1,NA,26,36896
2011,2012,"28,266,315",1,7,10,2,1,1,0,0,0,0,0,0,1,3,2,1,8,74806,0,6,0,0,1,0,0,0,0,0,0,0,NA,23,38010
2012,2013,"35,675,906",1,6,7,6,0,0,0,1,0,0,0,0,1,4,0,0,8,87945,0,NA,0,0,0,1,0,0,0,0,0,0,NA,23,39958
2013,2014,"34,901,506",1,7,10,4,0,0,0,1,0,1,0,0,1,3,0,0,8,73126,0,19,0,0,0,0,1,0,0,0,0,0,NA,24,41386
2014,2015,"31,302,756",1,6,9,4,1,0,0,1,0,1,0,0,0,6,2,1,7,73272,0,20,0,0,0,0,1,0,0,0,0,0,NA,23,42453
2015,2016,"27,245,233",1,7,8,6,0,1,0,1,0,0,0,0,0,4,0,0,8,75358,0,NA,0,0,0,0,0,1,1,0,0,0,NA,25,43401
2016,2017,"29,888,946",1,6,10,3,1,1,0,1,1,1,0,0,0,5,1,0,9,68459,0,3,0,0,0,0,0,1,1,0,0,0,17,23,43871
2017,2018,"33,273,440",1,7,11,3,0,1,1,1,1,0,0,0,0,4,1,1,10,72683,0,12,0,0,0,0,0,1,0,0,2,0,15,23,45687
2018,2019,"31,969,833",1,6,5,7,0,0,0,0,0,0,0,0,0,4,0,0,10,55449,0,NA,0,0,0,0,0,1,0,0,1,1,17,21,47500
